NCM;DESCRIÇÃO;ALÍQUOTA (%)
3811.29.20;Detergentes metálicos;8
3811.29.90;Outros;8
3811.90;- Outros;
3811.90.10;Dispersantes sem cinzas, para óleos de petróleo combustíveis;8
3811.90.90;Outros;8
3812.10.00;"- Preparações denominadas ""aceleradores de vulcanização""";10
3812.20.00;- Plastificantes compostos para borracha ou plásticos;10
3812.30;- Preparações antioxidantes e outros estabilizadores compostos, para borracha ou plásticos;
3812.30.1;Para borracha;
3812.30.11;Que contenham derivados N-substituídos de p-fenilenodiamina;10
3812.30.12;Que contenham fosfitos de alquila, de arila ou de alquil-arila;10
3812.30.13;Que contenham 2,2,4-trimetil-1,2-diidroquinoleína polimerizada;10
3812.30.19;Outros;10
3812.30.2;Para plásticos;
3812.30.21;Que contenham derivados N-substituídos de p-fenilenodiamina;10
3812.30.29;Outros;10
3813.00;"Composições e cargas para aparelhos extintores; granadas e bombas extintoras.";
3813.00.10;Que contenham bromoclorodifluorometano, bromotrifluorometano ou dibromotetrafluoroetanos;8
3813.00.20;Que contenham hidrobromofluorcarbonetos do metano, do etano ou do propano (HBFC);8
3813.00.30;Que contenham hidroclorofluorcarbonetos do metano, do etano ou do propano (HCFC);8
3813.00.40;Que contenham bromoclorometano;8
3813.00.90;Outros;8
3814.00;"Solventes e diluentes orgânicos compostos, não especificados nem compreendidos noutras posições; preparações concebidas para remover tintas ou vernizes.";
3814.00.10;Que contenham clorofluorcarbonetos do metano, do etano ou do propano (CFC), mesmo que contenham hidroclorofluorcarbonetos (HCFC);10
3814.00.20;Que contenham hidroclorofluorcarbonetos do metano, do etano ou do propano (HCFC), mas que não contenham clorofluorcarbonetos (CFC);10
3814.00.30;Que contenham tetracloreto de carbono, bromoclorometano ou 1,1,1-tricloroetano (metilclorofórmio);10
3814.00.90;Outros;10
3815.1;- Catalisadores em suporte:;
3815.11.00;-- Tendo como substância ativa o níquel ou um composto de níquel;10
3815.12;-- Tendo como substância ativa um metal precioso ou um composto de metal precioso;
3815.12.10;Em colméia cerâmica ou metálica para conversão catalítica de gases de escape de veículos;10
3815.12.20;Com tamanho de partícula inferior a 500 micrômetros (mícrons);10
3815.12.90;Outros;10
3815.19.00;-- Outros;10
3815.90;- Outros;
3815.90.10;Para craqueamento de petróleo;0
3815.90.9;Outros;
3815.90.91;Tendo como substância ativa o isoprenilalumínio (IPRA);10
3815.90.92;Tendo como substância ativa o óxido de zinco;10
3815.90.99;Outros;10
3816.00;Cimentos, argamassas, concretos e composições semelhantes, refratários, exceto os produtos da posição 38.01.;
3816.00.1;Cimentos e argamassas;
3816.00.11;À base de magnesita calcinada;5
3816.00.12;À base de silimanita;5
3816.00.19;Outros;5
3816.00.2;Outras preparações à base de cromo-magnesita, de zircônio, de silimanita, de cianita, de andaluzita, de coríndon ou de diaspório;
3816.00.21;Que contenham grafita e 50 % ou mais, em peso, de coríndon;10
3816.00.29;Outras;10
3816.00.90;Outros;10
3817.00;Misturas de alquilbenzenos ou de alquilnaftalenos, exceto as das posições 27.07 ou 29.02.;
3817.00.10;Misturas de alquilbenzenos;10
3817.00.20;Misturas de alquilnaftalenos;10
3818.00;"Elementos químicos impurificados (dopados), próprios para utilização em eletrônica, em forma de discos, plaquetas (wafers), ou formas análogas; compostos químicos impurificados (dopados), próprios para utilização em eletrônica.";
3818.00.10;De silício;10
3818.00.90;Outros;10
3819.00.00;Fluidos para freios hidráulicos e outros líquidos preparados para transmissões hidráulicas, que não contenham óleos de petróleo nem de minerais betuminosos, ou que os contenham em proporção inferior a 70 %, em peso.;10
3820.00.00;Preparações anticongelantes e líquidos preparados para descongelamento.;10
3821.00.00;Meios de cultura preparados para o desenvolvimento e a manutenção de microrganismos (incluindo os vírus e os organismos similares) ou de células vegetais, humanas ou animais.;0
3822.00;"Reagentes de diagnóstico ou de laboratório em qualquer suporte e reagentes de diagnóstico ou de laboratório preparados, mesmo apresentados num suporte, exceto os das posições 30.02 ou 30.06; materiais de referência certificados.";
3822.00.10;Reagentes para determinação de componentes do sangue ou da urina, sobre suporte de papel, em rolos, sem suporte adicional hidrófobo, impróprios para uso direto;0
3822.00.90;Outros;0
3823.1;"- Ácidos graxos monocarboxílicos industriais; óleos ácidos de refinação:";
3823.11.00;-- Ácido esteárico;0
3823.12.00;-- Ácido oleico;0
3823.13.00;-- Ácidos graxos do tall oil;0
3823.19.00;-- Outros;0
3823.70;- Álcoois graxos industriais;
3823.70.10;Esteárico;0
3823.70.20;Láurico;0
3823.70.30;Outras misturas de álcoois primários alifáticos;0
3823.70.90;Outros;0
3824.10.00;- Aglutinantes preparados para moldes ou para núcleos de fundição;10
3824.30.00;- Carbonetos metálicos não aglomerados, misturados entre si ou com aglutinantes metálicos;10
3824.40.00;- Aditivos preparados para cimentos, argamassas ou concretos;5
3824.50.00;- Argamassas e concretos, não refratários;0
3824.60.00;- Sorbitol, exceto o da subposição 2905.44;10
3824.7;- Misturas que contenham derivados halogenados do metano, do etano ou do propano:;
3824.71;-- Que contenham clorofluorcarbonetos (CFC), mesmo que contenham hidroclorofluorcarbonetos (HCFC), perfluorcarbonetos (PFC) ou hidrofluorcarbonetos (HFC);
3824.71.10;Que contenham triclorotrifluoroetanos;10
3824.71.90;Outras;10
3824.72.00;-- Que contenham bromoclorodifluorometano, bromotrifluorometano ou dibromotetrafluoroetanos;10
3824.73.00;-- Que contenham hidrobromofluorcarbonetos (HBFC);10
3824.74;-- Que contenham hidroclorofluorcarbonetos (HCFC), mesmo que contenham perfluorcarbonetos (PFC), ou hidrofluorcarbonetos (HFC), mas que não contenham clorofluorcarbonetos (CFC);
3824.74.10;Que contenham clorodifluormetano e pentafluoretano;10
3824.74.20;Que contenham clorodifluormetano e clorotetrafluoretano;10
3824.74.90;Outras;10
3824.75.00;-- Que contenham tetracloreto de carbono;10
3824.76.00;-- Que contenham 1,1,1-tricloroetano (metilclorofórmio);10
3824.77.00;-- Que contenham bromometano (brometo de metila) ou bromoclorometano;10
3824.78;-- Que contenham perfluorcarbonetos (PFC) ou hidrofluorcarbonetos (HFC), mas que não contenham clorofluorcarbonetos (CFC), ou hidroclorofluorcarbonetos (HCFC);
3824.78.10;Que contenham tetrafluoretano e pentafluoretano;10
3824.78.90;Outras;10
3824.79.00;-- Outras;10
3824.8;- Misturas e preparações que contenham oxirano (óxido de etileno), polibromobifenilas (PBB), policlorobifenilas (PCB), policloroterfenilas (PCT) ou fosfato de tris(2,3-dibromopropila):;
3824.81;-- Que contenham oxirano (óxido de etileno);
3824.81.10;Mistura de óxido de propileno com um conteúdo de óxido de etileno inferior ou igual a 30 %, em peso;10
3824.81.90;Outras;10
3824.82.00;-- Que contenham polibromobifenilas (PBB), policloroterfenilas (PCT) ou policlorobifenilas (PCB);10
3824.83.00;-- Que contenham fosfato de tris(2,3-dibromopropila);10
3824.90;- Outros;
3824.90.1;Produtos intermediários da fabricação de antibióticos ou de vitaminas ou de outros produtos da posição 29.36;
3824.90.11;Salinomicina micelial;10
3824.90.12;Com teor de cianocobalamina inferior ou igual a 55 %, em peso;10
3824.90.13;Da fabricação da primicina amônica;10
3824.90.14;Senduramicina sódica, da fabricação da senduramicina;10
3824.90.15;Maduramicina amônica, em solução alcoólica, da fabricação da maduramicina;10
3824.90.19;Outros;10
3824.90.2;"Derivados de ácidos graxos industriais; misturas e preparações contendo álcoois graxos ou ácidos carboxílicos ou derivados destes produtos";
3824.90.21;"Ácidos graxos dimerizados; preparações contendo ácidos graxos dimerizados";10
3824.90.22;"Preparações contendo estearoilbenzoilmetano e palmitoilbenzoilmetano; preparações contendo caprilato e caprato de propilenoglicol";10
3824.90.23;Preparações contendo triglicerídios dos ácidos caprílico e cáprico;10
3824.90.24;"Ésteres de álcoois graxos de C12 a C20 do ácido metacrílico e suas misturas; ésteres de ácidos monocarboxílicos de C10 ramificados com glicerol";10
3824.90.25;"Misturas de ésteres dimetílicos dos ácidos adípico, glutárico e succínico; misturas de ácidos dibásicos de C11 e C12; ácidos naftênicos, seus sais insolúveis em água e seus ésteres";10
3824.90.29;Outros;10
3824.90.3;Misturas e preparações para borracha ou plásticos e outras misturas e preparações para endurecer resinas sintéticas, colas, pinturas ou usos similares;
3824.90.31;Que contenham isocianatos de hexametileno ou outros isocianatos;10
3824.90.32;Que contenham aminas graxas de C8 a C22;10
3824.90.33;Que contenham polietilenoaminas e dietilenotriaminas, próprias para a coagulação do látex;10
3824.90.34;Outras, contendo polietilenoaminas;10
3824.90.35;Misturas de mono-, di- e triisopropanolaminas;10
3824.90.36;Reticulantes para silicones;10
3824.90.39;Outras;10
3824.90.4;"Misturas e preparações desincrustantes, anticorrosivas ou antioxidantes; fluidos para a transferência de calor";
3824.90.41;Preparações desincrustantes, anticorrosivas ou antioxidantes;0
3824.90.42;Mistura eutética de difenila e óxido de difenila;10
3824.90.43;À base de trimetil-3,9-dietildecano;10
3824.90.49;Outros;10
3824.90.5;"Polietilenoglicóis e suas misturas; polipropilenoglicóis e suas misturas; misturas e preparações contendo ésteres de ácidos inorgânicos e seus derivados";
3824.90.51;Antiespumantes contendo fosfato de tributila em solução de álcool isopropílico;10
3824.90.52;Misturas de polietilenoglicóis;10
3824.90.53;Polipropilenoglicol líquido;10
3824.90.54;Retardante de chama contendo misturas de trifenilfosfatos isopropilados;10
3824.90.59;Outros;10
3824.90.7;Produtos e preparações à base de elementos químicos ou de seus compostos inorgânicos, não especificados nem compreendidos noutras posições;
3824.90.71;"Cal sodada; carbonato de cálcio hidrófugo";10
3824.90.72;"Preparações à base de sílica em suspensão coloidal; nitreto de boro de estrutura cristalina cúbica, compactado com substrato de carbeto de tungstênio (volfrâmio)";10
3824.90.73;"Preparações à base de carbeto de tungstênio (volfrâmio) com níquel como aglomerante; brometo de hidrogênio em solução";10
3824.90.74;Preparações à base de hidróxido de níquel ou de cádmio, de óxido de cádmio ou de óxido ferroso férrico, próprios para a fabricação de acumuladores alcalinos;10
3824.90.75;"Preparações utilizadas na elaboração de meios de cultura; trocadores de íons para o tratamento de águas; preparações à base de zeólitas artificiais";10
3824.90.76;Compostos absorventes à base de metais para aperfeiçoar o vácuo nos tubos ou válvulas elétricas;10
3824.90.77;Adubos (fertilizantes) foliares contendo zinco ou manganês;0
3824.90.78;Preparações à base de óxido de alumínio e óxido de zircônio, com um conteúdo de óxido de zircônio superior ou igual a 20 %, em peso;10
3824.90.79;Outros;10
3824.90.8;Produtos e preparações à base de compostos orgânicos, não especificados nem compreendidos noutras posições;
3824.90.81;Preparações à base de anidrido poliisobutenilsuccínico, em óleo mineral;10
3824.90.82;"Halquinol; tetraclorohidroxiglicina de alumínio e zircônio";10
3824.90.83;"Triisocianato de tiofosfato de fenila ou de trifenilmetano, em solução de cloreto de metileno ou de acetato de etila; preparações à base de tetraacetiletilenodiamina (TAED), em grânulos";10
3824.90.85;Metilato de sódio em metanol;10
3824.90.86;"Maneb; mancozeb; cloreto de benzalcônio";10
3824.90.87;Dispersão aquosa de microcápsulas de poliuretano ou de melamina-formaldeído contendo um precursor de corante em solventes orgânicos;10
3824.90.88;Misturas constituídas essencialmente pelos compostos seguintes: alquilfosfonofluoridatos de O-alquila (de até C10, incluindo os cicloalquilas), N,N-dialquilfosforoamidocianidatos de O-alquila (de até C10, incluindo os cicloalquilas), hidrogênio alquilfosfonotioatos de [S-2-(dialquilamino)etila], seus ésteres de O-alquila (de até C10, incluindo os cicloalquilas) ou seus sais alquilados ou protonados, difluoretos de alquilfosfonila, hidrogênio alquilfosfonitos de [O-2-(dialquilamino)etila], seus ésteres de O-alquila (de até C10, incluindo os cicloalquilas) ou seus sais alquilados ou protonados, dialogenetos de N,N-dialquilfosforoamídicos, N,N-dialquilfosforoamidatos de dialquila, N,N-dialquil-2-cloroetilaminas ou seus sais protonados, N,N-dialquil-2-aminoetanóis ou seus sais protonados, N,N-dialquilaminoetano-2-tióis ou seus sais protonados ou por compostos que contenham um átomo de fósforo unido a um grupo alquila, sem outros átomos de carbono, (grupos alquila de C1 a C3, exceto nos casos expressamente indicados);10
3824.90.89;Outros;10
3825.10.00;- Lixos municipais;0
3825.20.00;- Lamas de tratamento de esgotos;0
3825.30.00;- Resíduos clínicos;0
3825.4;- Resíduos de solventes orgânicos:;
3825.41.00;-- Halogenados;0
3825.49.00;-- Outros;0
3825.50.00;- Resíduos de soluções decapantes para metais, de fluidos hidráulicos, de fluidos para freios e de fluidos anticongelantes;0
3825.6;- Outros resíduos das indústrias químicas ou das indústrias conexas:;
3825.61.00;-- Que contenham principalmente constituintes orgânicos;0
3825.69.00;-- Outros;0
3825.90.00;- Outros;0
3826.00.00;Biodiesel e suas misturas, que não contenham ou que contenham menos de 70 %, em peso, de óleos de petróleo ou de óleos minerais betuminosos.;10
39.01;Polímeros de etileno, em formas primárias.;
39.02;Polímeros de propileno ou de outras olefinas, em formas primárias.;
39.03;Polímeros de estireno, em formas primárias.;
39.04;Polímeros de cloreto de vinila ou de outras olefinas halogenadas, em formas primárias.;
39.05;"Polímeros de acetato de vinila ou de outros ésteres de vinila, em formas primárias; outros polímeros de vinila, em formas primárias.";
39.06;Polímeros acrílicos, em formas primárias.;
39.07;"Poliacetais, outros poliéteres e resinas epóxidas, em formas primárias; policarbonatos, resinas alquídicas, poliésteres alílicos e outros poliésteres, em formas primárias.";
39.08;Poliamidas em formas primárias.;
39.09;Resinas amínicas, resinas fenólicas e poliuretanos, em formas primárias.;
39.11;Resinas de petróleo, resinas de cumarona-indeno, politerpenos, polissulfetos, polissulfonas e outros produtos mencionados na Nota 3 do presente Capítulo, não especificados nem compreendidos noutras posições, em formas primárias.;
39.12;Celulose e seus derivados químicos, não especificados nem compreendidos noutras posições, em formas primárias.;
39.13;Polímeros naturais (ácido algínico, por exemplo) e polímeros naturais modificados (por exemplo, proteínas endurecidas, derivados químicos da borracha natural), não especificados nem compreendidos noutras posições, em formas primárias.;
39.15;Desperdícios, resíduos e aparas, de plásticos.;
39.16;Monofilamentos cuja maior dimensão do corte transversal seja superior a 1 mm (monofios), varas, bastões e perfis, mesmo trabalhados à superfície, mas não trabalhados de outro modo, de plásticos.;
39.17;Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos.;
39.18;"Revestimentos de pisos (pavimentos), de plásticos, mesmo auto-adesivos, em rolos ou em forma de ladrilhos ou de mosaicos; revestimentos de paredes ou de tetos, de plásticos, definidos na Nota 9 do presente Capítulo.";
39.19;Chapas, folhas, tiras, fitas, películas e outras formas planas, auto-adesivas, de plásticos, mesmo em rolos.;
39.20;Outras chapas, folhas, películas, tiras e lâminas, de plásticos não alveolares, não reforçadas nem estratificadas, sem suporte, nem associadas de forma semelhante a outras matérias.;
39.21;Outras chapas, folhas, películas, tiras e lâminas, de plásticos.;
39.22;Banheiras, boxes para chuveiros, pias, lavatórios, bidés, sanitários e seus assentos e tampas, caixas de descarga e artigos semelhantes para usos sanitários ou higiênicos, de plásticos.;
39.23;"Artigos de transporte ou de embalagem, de plásticos; rolhas, tampas, cápsulas e outros dispositivos para fechar recipientes, de plásticos.";
39.24;Serviços de mesa e outros artigos de uso doméstico, de higiene ou de toucador, de plásticos.;
39.25;Artefatos para apetrechamento de construções, de plásticos, não especificados nem compreendidos noutras posições.;
39.26;Outras obras de plásticos e obras de outras matérias das posições 39.01 a 39.14.;
3901.10;- Polietileno de densidade inferior a 0,94;
3901.10.10;Linear;5
3901.10.9;Outros;
3901.10.91;Com carga;5
3901.10.92;Sem carga;5
3901.20;- Polietileno de densidade igual ou superior a 0,94;
3901.20.1;Com carga;
3901.20.11;Vulcanizado, de densidade superior a 1,3;5
3901.20.19;Outros;5
3901.20.2;Sem carga;
3901.20.21;Vulcanizado, de densidade superior a 1,3;5
3901.20.29;Outros;5
3901.30;- Copolímeros de etileno e acetato de vinila;
3901.30.10;Nas formas previstas na Nota 6 a) deste Capítulo;5
3901.30.90;Outros;5
3901.90;- Outros;
3901.90.10;Copolímeros de etileno e ácido acrílico;5
3901.90.20;Copolímeros de etileno e monômeros com radicais carboxílicos, inclusive com metacrilato de metila ou acrilato de metila como terceiro monômero;5
3901.90.30;Polietileno clorossulfonado;5
3901.90.40;Polietileno clorado;5
3901.90.50;Copolímeros de etileno - ácido metacrílico, com um conteúdo de etileno superior ou igual a 60 %, em peso;5
3901.90.90;Outros;5
3902.10;- Polipropileno;
3902.10.10;Com carga;5
3902.10.20;Sem carga;5
3902.20.00;- Poliisobutileno;5
3902.30.00;- Copolímeros de propileno;5
3902.90.00;- Outros;5
3903.1;- Poliestireno:;
3903.11;-- Expansível;
3903.11.10;Com carga;5
3903.11.20;Sem carga;5
3903.19.00;-- Outros;5
3903.20.00;- Copolímeros de estireno-acrilonitrila (SAN);5
3903.30;- Copolímeros de acrilonitrila-butadieno-estireno (ABS);
3903.30.10;Com carga;5
3903.30.20;Sem carga;5
3903.90;- Outros;
3903.90.10;Copolímeros de metacrilato de metilbutadieno-estireno (MBS);5
3903.90.20;Copolímeros de acrilonitrilo-estireno-acrilato de butilo (ASA);5
3903.90.90;Outros;5
3904.10;- Poli(cloreto de vinila), não misturado com outras substâncias;
3904.10.10;Obtido por processo de suspensão;5
3904.10.20;Obtido por processo de emulsão;5
3904.10.90;Outros;5
3904.2;- Outro poli(cloreto de vinila):;
3904.21.00;-- Não plastificado;5
3904.22.00;-- Plastificado;5
3904.30.00;- Copolímeros de cloreto de vinila e acetato de vinila;5
3904.40;- Outros copolímeros de cloreto de vinila;
3904.40.10;Com acetato de vinila, com um ácido dibásico ou com álcool vinílico, nas formas previstas na Nota 6 b) deste Capítulo;5
3904.40.90;Outros;5
3904.50;- Polímeros de cloreto de vinilideno;
3904.50.10;Copolímeros de cloreto de vinilideno, sem emulsionante nem plastificante;5
3904.50.90;Outros;5
3904.6;- Polímeros fluorados:;
3904.61;-- Politetrafluoretileno;
3904.61.10;Nas formas previstas na Nota 6 a) deste Capítulo;5
3904.61.90;Outros;5
3904.69;-- Outros;
3904.69.10;Copolímero de fluoreto de vinilideno e hexafluorpropileno;5
3904.69.90;Outros;5
3904.90.00;- Outros;5
3905.1;- Poli(acetato de vinila):;
3905.12.00;-- Em dispersão aquosa;5
3905.19;-- Outros;
3905.19.10;Com grupos álcool vinílico, nas formas previstas na Nota 6 b) deste Capítulo;5
3905.19.90;Outros;5
3905.2;- Copolímeros de acetato de vinila:;
3905.21.00;-- Em dispersão aquosa;5
3905.29.00;-- Outros;5
3905.30.00;- Poli(álcool vinílico), mesmo que contenham grupos acetato não hidrolisados;5
3905.9;- Outros:;
3905.91;-- Copolímeros;
3905.91.30;De vinilpirrolidona e acetato de vinila, em solução alcoólica;5
3905.91.90;Outros;5
3905.99;-- Outros;
3905.99.10;Poli(vinilformal);5
3905.99.20;Poli(butiral de vinila);5
3905.99.30;Poli(vinilpirrolidona) iodada;5
3905.99.90;Outros;5
3906.10.00;- Poli(metacrilato de metila);5
3906.90;- Outros;
3906.90.1;Nas formas previstas na Nota 6 a) deste Capítulo, em água;
3906.90.11;Poli(ácido acrílico) e seus sais;5
3906.90.12;Sal sódico do poli(ácido acrilamídico), solúvel em água;5
3906.90.19;Outros;5
3906.90.2;Nas formas previstas na Nota 6 a) deste Capítulo, em solventes orgânicos;
3906.90.21;Poli(ácido acrílico) e seus sais;5
3906.90.22;Copolímero de metacrilato de 2-diisopropilaminoetila e metacrilato de n-decila, em suspensão de dimetilacetamida;5
3906.90.29;Outros;5
3906.90.3;Nas formas previstas na Nota 6 a) deste Capítulo, em outros solventes ou sem solvente;
3906.90.31;Poli(ácido acrílico) e seus sais;5
3906.90.32;Sal sódico do poli(ácido acrilamídico), solúvel em água;5
3906.90.39;Outros;5
3906.90.4;Nas formas previstas na Nota 6 b) deste Capítulo;
3906.90.41;Poli(ácido acrílico) e seus sais;5
3906.90.42;Sal sódico do poli(ácido acrilamídico), solúvel em água;5
3906.90.43;Carboxipolimetileno, em pó;5
3906.90.44;Poli(acrilato de sódio), com capacidade de absorção de uma solução aquosa de cloreto de sódio 0,9 %, em peso, superior ou igual a vinte vezes seu próprio peso;5
3906.90.45;Copolímero de poli(acrilato de potássio) e poli(acrilamida), com capacidade de absorção de água destilada de até quatrocentas vezes seu próprio peso;5
3906.90.46;Copolímeros de acrilato de metila-etileno com um conteúdo de acrilato de metila superior ou igual a 50 %, em peso;5
3906.90.47;Copolímero de acrilato de etila, acrilato de n-butila e acrilato de 2-metoxietila;5
3906.90.49;Outros;5
3907.10;- Poliacetais;
3907.10.10;Com carga, nas formas previstas na Nota 6 a) deste Capítulo;5
3907.10.20;Com carga, nas formas previstas na Nota 6 b) deste Capítulo;5
3907.10.3;Sem carga, nas formas previstas na Nota 6 a) deste Capítulo;
3907.10.31;Polidextrose;5
3907.10.39;Outros;5
3907.10.4;Sem carga, nas formas previstas na Nota 6 b) deste Capítulo, não estabilizados;
3907.10.41;Polidextrose;5
3907.10.42;Outros, em pó que passe através de uma peneira com abertura de malha de 0,85 mm em proporção superior a 80 %, em peso;5
3907.10.49;Outros;5
3907.10.9;Outros;
3907.10.91;Em grânulos, com diâmetro de partícula superior a 2 mm, segundo a Norma ASTM E 11-70;5
3907.10.99;Outros;5
3907.20;- Outros poliéteres;
3907.20.1;Poli(óxido de fenileno), mesmo modificado com estireno ou estireno-acrilonitrila;
3907.20.11;Com carga;5
3907.20.12;Sem carga;5
3907.20.20;Politetrametilenoeterglicol;5
3907.20.3;Polieterpolióis;
3907.20.31;Polietilenoglicol 400;5
3907.20.39;Outros;5
3907.20.4;Poli(epicloridrina) (PECH) e seus copolímeros;
3907.20.41;Poli(epicloridrina);5
3907.20.42;Copolímeros de óxido de etileno;5
3907.20.49;Outros;5
3907.20.90;Outros;5
3907.30;- Resinas epóxidas;
3907.30.1;Com carga;
3907.30.11;Nas formas previstas na Nota 6 a) deste Capítulo;5
3907.30.19;Outras;5
3907.30.2;Sem carga;
3907.30.21;Copolímero de tetrabromobisfenol A e epicloridrina (resina epóxida bromada);5
3907.30.22;Outras, nas formas previstas na Nota 6 a) deste Capítulo;5
3907.30.29;Outras;5
3907.40;- Policarbonatos;
3907.40.10;Nas formas previstas na Nota 6 b) deste Capítulo, com transmissão de luz de comprimento de onda de 550 nm ou 800 nm, superior a 89 %, segundo Norma ASTM D 1003-00 e índice de fluidez de massa superior ou igual a 60 g/10 min e inferior ou igual a 80 g/10 min segundo Norma ASTM D 1238;5
3907.40.90;Outros;5
3907.50;- Resinas alquídicas;
3907.50.10;Nas formas previstas na Nota 6 a) deste Capítulo;5
3907.50.90;Outras;5
3907.60.00;- Poli(tereftalato de etileno);5
3907.70.00;- Poli(ácido láctico);5
3907.9;- Outros poliésteres:;
3907.91.00;-- Não saturados;5
3907.99;-- Outros;
3907.99.1;Poli(tereftalato de butileno);
3907.99.11;Com carga de fibra de vidro;5
3907.99.12;Outros, nas formas previstas na Nota 6 a) deste Capítulo;5
3907.99.19;Outros;5
3907.99.9;Outros;
3907.99.91;Nas formas previstas na Nota 6 a) deste Capítulo;5
3907.99.92;Poli(epsilon caprolactona);5
3907.99.99;Outros;5
3908.10;- Poliamida-6, -11, -12, -6,6, -6,9, -6,10 ou -6,12;
3908.10.1;Nas formas previstas na Nota 6 a) deste Capítulo;
3908.10.11;Poliamida-11;5
3908.10.12;Poliamida-12;5
3908.10.13;Poliamida-6 ou poliamida-6,6, com carga;5
3908.10.14;Poliamida-6 ou poliamida-6,6, sem carga;5
3908.10.19;Outras;5
3908.10.2;Nas formas previstas na Nota 6 b) deste Capítulo;
3908.10.21;Poliamida-11;5
3908.10.22;Poliamida-12;5
3908.10.23;Poliamida-6 ou poliamida-6,6, com carga;5
3908.10.24;Poliamida-6 ou poliamida-6,6, sem carga;5
3908.10.29;Outras;5
3908.90;- Outras;
3908.90.10;Copolímero de lauril-lactama;5
3908.90.20;Obtidas por condensação de ácidos graxos dimerizados ou trimerizados com etilenaminas;5
3908.90.90;Outras;5
3909.10.00;"- Resinas ureicas; resinas de tioureia";5
3909.20;- Resinas melamínicas;
3909.20.1;Com carga;
3909.20.11;Melamina-formaldeído, em pó;5
3909.20.19;Outras;5
3909.20.2;Sem carga;
3909.20.21;Melamina-formaldeído, em pó;5
3909.20.29;Outras;5
3909.30;- Outras resinas amínicas;
3909.30.10;Com carga;5
3909.30.20;Sem carga;5
3909.40;- Resinas fenólicas;
3909.40.1;Lipossolúveis, puras ou modificadas;
3909.40.11;Fenol-formaldeído;5
3909.40.19;Outras;5
3909.40.9;Outras;
3909.40.91;Fenol-formaldeído;5
3909.40.99;Outras;5
3909.50;- Poliuretanos;
3909.50.1;Nas formas previstas na Nota 6 a) deste Capítulo;
3909.50.11;Soluções em solventes orgânicos;5
3909.50.12;Em dispersão aquosa;5
3909.50.19;Outros;5
3909.50.2;Nas formas previstas na Nota 6 b) deste Capítulo;
3909.50.21;Hidroxilados, com propriedades adesivas;5
3909.50.29;Outros;5
3910.00;Silicones em formas primárias.;
3910.00.1;Óleos;
3910.00.11;Misturas de pré-polímeros lineares e cíclicos, obtidos por hidrólise de dimetildiclorosilano, de peso molecular médio inferior ou igual a 8.800;5
3910.00.12;Polidimetilsiloxano, polimetilidrogenosiloxano ou misturas destes produtos, em dispersão;5
3910.00.13;Copolímeros de dimetilsiloxano com compostos vinílicos, de viscosidade superior ou igual a 1.000.000 cSt;5
3910.00.19;Outros;5
3910.00.2;Elastômeros;
3910.00.21;De vulcanização a quente;5
3910.00.29;Outros;5
3910.00.30;Resinas;5
3910.00.90;Outros;5
3911.10;- Resinas de petróleo, resinas de cumarona, resinas de indeno, resinas de cumarona-indeno e politerpenos;
3911.10.10;Com carga;5
3911.10.2;Sem carga;
3911.10.21;Resinas de petróleo, total ou parcialmente hidrogenadas, de Cor Gardner inferior a 3, segundo Norma ASTM D 1544;5
3911.10.29;Outros;5
3911.90;- Outros;
3911.90.1;Com carga;
3911.90.11;Politerpenos modificados quimicamente, exceto com fenóis;5
3911.90.12;Polieterimidas (PEI) e seus copolímeros;5
3911.90.13;Polietersulfonas (PES) e seus copolímeros;5
3911.90.14;Poli(sulfeto de fenileno);5
3911.90.19;Outros;5
3911.90.2;Sem carga;
3911.90.21;Politerpenos modificados quimicamente, exceto com fenóis;5
3911.90.22;Poli(sulfeto de fenileno);5
3911.90.23;Polietilenaminas;5
3911.90.24;Polieterimidas (PEI) e seus copolímeros;5
3911.90.25;Polietersulfonas (PES) e seus copolímeros;5
3911.90.26;Polissulfonas;5
3911.90.27;Cloreto de hexadimetrina;5
3911.90.29;Outros;5
3912.1;- Acetatos de celulose:;
3912.11;-- Não plastificados;
3912.11.10;Com carga;5
3912.11.20;Sem carga;5
3912.12.00;-- Plastificados;5
3912.20;- Nitratos de celulose (incluindo os colódios);
3912.20.10;Com carga;5
3912.20.2;Sem carga;
3912.20.21;Em álcool, com um teor de não voláteis superior ou igual a 65 %, em peso;5
3912.20.29;Outros;5
3912.3;- Éteres de celulose:;
3912.31;-- Carboximetilcelulose e seus sais;
3912.31.1;Carboximetilcelulose;
3912.31.11;Com um teor de carboximetilcelulose superior ou igual a 75 %, em peso;5
3912.31.19;Outros;5
3912.31.2;Sais;
3912.31.21;Com um teor de sais superior ou igual a 75 %, em peso;5
3912.31.29;Outros;5
3912.39;-- Outros;
3912.39.10;Metil-, etil- e propilcelulose, hidroxiladas;5
3912.39.20;Outras metilceluloses;5
3912.39.30;Outras etilceluloses;5
3912.39.90;Outros;5
3912.90;- Outros;
3912.90.10;Propionato de celulose;5
3912.90.20;Acetobutanoato de celulose;5
3912.90.3;Celulose microcristalina;
3912.90.31;Em pó;5
3912.90.39;Outras;5
3912.90.40;Outras celuloses, em pó;5
3912.90.90;Outros;5
3913.10.00;- Ácido algínico, seus sais e seus ésteres;5
3913.90;- Outros;
3913.90.1;Derivados químicos da borracha natural;
